college,pla,age,race,gender,income,for-profit to for-profit,for-profit to private non-profit,for-profit to 2-year public,for-profit to 4-year public,for-profit to non-transfer,private non-profit to for-profit,private non-profit to private non-profit,private non-profit to 2-year public,private non-profit to 4-year public,private non-profit to non-transfer,2-year public to for-profit,2-year public to private non-profit,2-year public to 2-year public,2-year public to 4-year public,2-year public to non-transfer,4-year public to for-profit,4-year public to private non-profit,4-year public to 2-year public,4-year public to 4-year public,4-year public to non-transfer,for-profit to non-completers,private non-profit to non-completers,2-year public to non-completers,4-year public to non-completers,non-transfer to non-completers,for-profit to graduates,private non-profit to graduates,2-year public to graduates,4-year public to graduates,non-transfer to graduates,cost,time
all,none,all,Black,male,low income,0.0157,0.0092,0.0092,0.0092,0.0275,0.0100,0.0133,0.0200,0.0204,0.0593,0.0123,0.0490,0.0997,0.1504,0.1360,0.0166,0.0316,0.0870,0.0799,0.1437,0.0401,0.0744,0.1544,0.1882,0.2926,0.0145,0.0287,0.0615,0.0718,0.0772,59451.8000,4.3000
all,none,all,Hispanic,male,low income,0.0060,0.0035,0.0035,0.0035,0.0105,0.0061,0.0082,0.0123,0.0126,0.0364,0.0145,0.0580,0.1181,0.1783,0.1611,0.0170,0.0324,0.0891,0.0818,0.1471,0.0310,0.0728,0.1581,0.1982,0.2900,0.0127,0.0293,0.0649,0.0779,0.0692,59451.8000,4.3000
all,none,all,White,male,low income,0.0060,0.0035,0.0035,0.0035,0.0105,0.0124,0.0166,0.0249,0.0255,0.0738,0.0109,0.0434,0.0883,0.1332,0.1204,0.0196,0.0374,0.1027,0.0943,0.1696,0.0235,0.0491,0.1068,0.1273,0.2333,0.0255,0.0517,0.1126,0.1292,0.1466,59451.8000,4.3000
all,none,all,all,all,middle or high income,0.0034,0.0020,0.0020,0.0020,0.0059,0.0159,0.0212,0.0319,0.0326,0.0946,0.0079,0.0317,0.0646,0.0974,0.0881,0.0231,0.0440,0.1209,0.1110,0.1997,0.0216,0.0438,0.0978,0.1105,0.2110,0.0287,0.0551,0.1216,0.1326,0.1816,59451.8000,4.3000
all,none,all,Black,all,middle or high income,0.0112,0.0065,0.0065,0.0065,0.0195,0.0133,0.0177,0.0266,0.0272,0.0790,0.0102,0.0406,0.0827,0.1248,0.1128,0.0192,0.0366,0.1006,0.0924,0.1662,0.0291,0.0545,0.1156,0.1363,0.2442,0.0247,0.0470,0.1009,0.1146,0.1378,59451.8000,4.3000
all,none,all,Hispanic,all,middle or high income,0.0043,0.0025,0.0025,0.0025,0.0075,0.0083,0.0111,0.0166,0.0170,0.0493,0.0122,0.0489,0.0995,0.1502,0.1358,0.0200,0.0381,0.1047,0.0961,0.1729,0.0234,0.0535,0.1184,0.1434,0.2478,0.0214,0.0471,0.1050,0.1224,0.1234,59451.8000,4.3000
all,none,all,White,all,middle or high income,0.0041,0.0024,0.0024,0.0024,0.0072,0.0159,0.0212,0.0318,0.0325,0.0944,0.0086,0.0345,0.0703,0.1060,0.0959,0.0218,0.0415,0.1141,0.1047,0.1883,0.0147,0.0303,0.0671,0.0776,0.1736,0.0357,0.0693,0.1515,0.1681,0.2182,59451.8000,4.3000
all,none,all,all,female,middle or high income,0.0034,0.0020,0.0020,0.0020,0.0059,0.0159,0.0212,0.0319,0.0326,0.0946,0.0079,0.0317,0.0646,0.0974,0.0881,0.0231,0.0440,0.1209,0.1110,0.1997,0.0201,0.0409,0.0912,0.1032,0.2020,0.0302,0.0581,0.1282,0.1399,0.1909,59451.8000,4.3000
all,none,all,Black,female,middle or high income,0.0112,0.0065,0.0065,0.0065,0.0195,0.0133,0.0177,0.0266,0.0272,0.0790,0.0102,0.0406,0.0827,0.1248,0.1128,0.0192,0.0366,0.1006,0.0924,0.1662,0.0275,0.0514,0.1091,0.1287,0.2363,0.0263,0.0501,0.1074,0.1222,0.1461,59451.8000,4.3000
all,none,all,Hispanic,female,middle or high income,0.0043,0.0025,0.0025,0.0025,0.0075,0.0083,0.0111,0.0166,0.0170,0.0493,0.0122,0.0489,0.0995,0.1502,0.1358,0.0200,0.0381,0.1047,0.0961,0.1729,0.0221,0.0505,0.1117,0.1354,0.2409,0.0228,0.0501,0.1117,0.1304,0.1307,59451.8000,4.3000
all,none,all,White,female,middle or high income,0.0041,0.0024,0.0024,0.0024,0.0072,0.0159,0.0212,0.0318,0.0325,0.0944,0.0086,0.0345,0.0703,0.1060,0.0959,0.0218,0.0415,0.1141,0.1047,0.1883,0.0132,0.0273,0.0605,0.0703,0.1649,0.0372,0.0723,0.1580,0.1754,0.2272,59451.8000,4.3000
all,none,all,all,male,middle or high income,0.0034,0.0020,0.0020,0.0020,0.0059,0.0159,0.0212,0.0319,0.0326,0.0946,0.0079,0.0317,0.0646,0.0974,0.0881,0.0231,0.0440,0.1209,0.1110,0.1997,0.0232,0.0468,0.1044,0.1178,0.2200,0.0272,0.0521,0.1150,0.1253,0.1723,59451.8000,4.3000
all,none,all,Black,male,middle or high income,0.0112,0.0065,0.0065,0.0065,0.0195,0.0133,0.0177,0.0266,0.0272,0.0790,0.0102,0.0406,0.0827,0.1248,0.1128,0.0192,0.0366,0.1006,0.0924,0.1662,0.0307,0.0575,0.1221,0.1438,0.2522,0.0231,0.0440,0.0944,0.1071,0.1295,59451.8000,4.3000
all,none,all,Hispanic,male,middle or high income,0.0043,0.0025,0.0025,0.0025,0.0075,0.0083,0.0111,0.0166,0.0170,0.0493,0.0122,0.0489,0.0995,0.1502,0.1358,0.0200,0.0381,0.1047,0.0961,0.1729,0.0248,0.0565,0.1251,0.1514,0.2546,0.0201,0.0440,0.0983,0.1145,0.1162,59451.8000,4.3000
all,none,all,White,male,middle or high income,0.0041,0.0024,0.0024,0.0024,0.0072,0.0159,0.0212,0.0318,0.0325,0.0944,0.0086,0.0345,0.0703,0.1060,0.0959,0.0218,0.0415,0.1141,0.1047,0.1883,0.0163,0.0333,0.0736,0.0850,0.1823,0.0342,0.0663,0.1449,0.1607,0.2092,59451.8000,4.3000
all,none,18 to 24,all,all,all,0.0020,0.0012,0.0012,0.0012,0.0035,0.0141,0.0187,0.0281,0.0288,0.0834,0.0089,0.0357,0.0728,0.1098,0.0992,0.0228,0.0433,0.1192,0.1094,0.1968,0.0167,0.0363,0.0817,0.0943,0.1929,0.0311,0.0627,0.1395,0.1548,0.1957,59451.8000,4.3000
all,none,over 24,all,all,all,0.0213,0.0125,0.0125,0.0125,0.0372,0.0110,0.0147,0.0220,0.0225,0.0653,0.0132,0.0528,0.1075,0.1622,0.1466,0.0132,0.0252,0.0694,0.0637,0.1146,0.0425,0.0739,0.1469,0.1834,0.2897,0.0163,0.0313,0.0645,0.0775,0.0779,59451.8000,4.3000
all,none,18 to 24,Black,all,all,0.0045,0.0026,0.0026,0.0026,0.0078,0.0141,0.0188,0.0282,0.0288,0.0836,0.0096,0.0385,0.0785,0.1184,0.1070,0.0210,0.0401,0.1102,0.1011,0.1819,0.0215,0.0447,0.0984,0.1149,0.2185,0.0278,0.0553,0.1211,0.1361,0.1672,59451.8000,4.3000
all,none,over 24,Black,all,all,0.0420,0.0246,0.0246,0.0246,0.0732,0.0097,0.0129,0.0194,0.0199,0.0576,0.0126,0.0502,0.1022,0.1541,0.1393,0.0108,0.0206,0.0565,0.0519,0.0933,0.0620,0.0858,0.1582,0.1969,0.3101,0.0131,0.0224,0.0445,0.0536,0.0561,59451.8000,4.3000
all,none,18 to 24,Hispanic,all,all,0.0017,0.0010,0.0010,0.0010,0.0030,0.0087,0.0116,0.0174,0.0178,0.0515,0.0115,0.0458,0.0933,0.1408,0.1272,0.0216,0.0412,0.1132,0.1039,0.1869,0.0187,0.0445,0.1003,0.1201,0.2248,0.0248,0.0551,0.1245,0.1434,0.1503,59451.8000,4.3000
all,none,over 24,Hispanic,all,all,0.0173,0.0101,0.0101,0.0101,0.0301,0.0064,0.0086,0.0129,0.0132,0.0382,0.0160,0.0641,0.1305,0.1970,0.1780,0.0119,0.0227,0.0624,0.0573,0.1030,0.0409,0.0819,0.1661,0.2154,0.3034,0.0107,0.0236,0.0498,0.0621,0.0496,59451.8000,4.3000
all,none,18 to 24,White,all,all,0.0016,0.0009,0.0009,0.0009,0.0028,0.0164,0.0218,0.0327,0.0335,0.0971,0.0080,0.0318,0.0648,0.0978,0.0884,0.0232,0.0441,0.1214,0.1114,0.2004,0.0099,0.0216,0.0491,0.0566,0.1441,0.0393,0.0771,0.1708,0.1871,0.2509,59451.8000,4.3000
all,none,over 24,White,all,all,0.0179,0.0105,0.0105,0.0105,0.0311,0.0134,0.0179,0.0268,0.0274,0.0795,0.0123,0.0492,0.1002,0.1512,0.1367,0.0141,0.0269,0.0739,0.0679,0.1221,0.0327,0.0576,0.1157,0.1428,0.2547,0.0250,0.0468,0.0958,0.1142,0.1204,59451.8000,4.3000
all,none,18 to 24,all,female,all,0.0020,0.0012,0.0012,0.0012,0.0035,0.0141,0.0187,0.0281,0.0288,0.0834,0.0089,0.0357,0.0728,0.1098,0.0992,0.0228,0.0433,0.1192,0.1094,0.1968,0.0153,0.0333,0.0751,0.0868,0.1844,0.0325,0.0656,0.1461,0.1623,0.2045,59451.8000,4.3000
all,none,over 24,all,female,all,0.0213,0.0125,0.0125,0.0125,0.0372,0.0110,0.0147,0.0220,0.0225,0.0653,0.0132,0.0528,0.1075,0.1622,0.1466,0.0132,0.0252,0.0694,0.0637,0.1146,0.0407,0.0707,0.1406,0.1755,0.2832,0.0181,0.0345,0.0708,0.0854,0.0849,59451.8000,4.3000
all,none,18 to 24,Black,female,all,0.0045,0.0026,0.0026,0.0026,0.0078,0.0141,0.0188,0.0282,0.0288,0.0836,0.0096,0.0385,0.0785,0.1184,0.1070,0.0210,0.0401,0.1102,0.1011,0.1819,0.0200,0.0417,0.0918,0.1074,0.2103,0.0293,0.0583,0.1276,0.1436,0.1757,59451.8000,4.3000
all,none,over 24,Black,female,all,0.0420,0.0246,0.0246,0.0246,0.0732,0.0097,0.0129,0.0194,0.0199,0.0576,0.0126,0.0502,0.1022,0.1541,0.1393,0.0108,0.0206,0.0565,0.0519,0.0933,0.0606,0.0831,0.1526,0.1899,0.3049,0.0145,0.0252,0.0501,0.0606,0.0618,59451.8000,4.3000
all,none,18 to 24,Hispanic,female,all,0.0017,0.0010,0.0010,0.0010,0.0030,0.0087,0.0116,0.0174,0.0178,0.0515,0.0115,0.0458,0.0933,0.1408,0.1272,0.0216,0.0412,0.1132,0.1039,0.1869,0.0174,0.0415,0.0936,0.1122,0.2175,0.0261,0.0581,0.1313,0.1513,0.1580,59451.8000,4.3000
all,none,over 24,Hispanic,female,all,0.0173,0.0101,0.0101,0.0101,0.0301,0.0064,0.0086,0.0129,0.0132,0.0382,0.0160,0.0641,0.1305,0.1970,0.1780,0.0119,0.0227,0.0624,0.0573,0.1030,0.0396,0.0788,0.1597,0.2072,0.2986,0.0121,0.0267,0.0562,0.0703,0.0550,59451.8000,4.3000
all,none,18 to 24,White,female,all,0.0016,0.0009,0.0009,0.0009,0.0028,0.0164,0.0218,0.0327,0.0335,0.0971,0.0080,0.0318,0.0648,0.0978,0.0884,0.0232,0.0441,0.1214,0.1114,0.2004,0.0084,0.0187,0.0425,0.0492,0.1351,0.0407,0.0801,0.1774,0.1944,0.2602,59451.8000,4.3000
all,none,over 24,White,female,all,0.0179,0.0105,0.0105,0.0105,0.0311,0.0134,0.0179,0.0268,0.0274,0.0795,0.0123,0.0492,0.1002,0.1512,0.1367,0.0141,0.0269,0.0739,0.0679,0.1221,0.0309,0.0545,0.1093,0.1351,0.2477,0.0268,0.0499,0.1021,0.1219,0.1278,59451.8000,4.3000
all,none,18 to 24,all,male,all,0.0020,0.0012,0.0012,0.0012,0.0035,0.0141,0.0187,0.0281,0.0288,0.0834,0.0089,0.0357,0.0728,0.1098,0.0992,0.0228,0.0433,0.1192,0.1094,0.1968,0.0181,0.0393,0.0884,0.1018,0.2014,0.0296,0.0597,0.1329,0.1473,0.1869,59451.8000,4.3000
all,none,over 24,all,male,all,0.0213,0.0125,0.0125,0.0125,0.0372,0.0110,0.0147,0.0220,0.0225,0.0653,0.0132,0.0528,0.1075,0.1622,0.1466,0.0132,0.0252,0.0694,0.0637,0.1146,0.0443,0.0770,0.1532,0.1912,0.2963,0.0145,0.0282,0.0582,0.0697,0.0710,59451.8000,4.3000
all,none,18 to 24,Black,male,all,0.0045,0.0026,0.0026,0.0026,0.0078,0.0141,0.0188,0.0282,0.0288,0.0836,0.0096,0.0385,0.0785,0.1184,0.1070,0.0210,0.0401,0.1102,0.1011,0.1819,0.0229,0.0477,0.1050,0.1224,0.2267,0.0263,0.0523,0.1145,0.1286,0.1586,59451.8000,4.3000
all,none,over 24,Black,male,all,0.0420,0.0246,0.0246,0.0246,0.0732,0.0097,0.0129,0.0194,0.0199,0.0576,0.0126,0.0502,0.1022,0.1541,0.1393,0.0108,0.0206,0.0565,0.0519,0.0933,0.0630,0.0883,0.1635,0.2037,0.3147,0.0121,0.0199,0.0392,0.0468,0.0511,59451.8000,4.3000
all,none,18 to 24,Hispanic,male,all,0.0017,0.0010,0.0010,0.0010,0.0030,0.0087,0.0116,0.0174,0.0178,0.0515,0.0115,0.0458,0.0933,0.1408,0.1272,0.0216,0.0412,0.1132,0.1039,0.1869,0.0200,0.0475,0.1071,0.1280,0.2320,0.0235,0.0521,0.1178,0.1355,0.1427,59451.8000,4.3000
all,none,over 24,Hispanic,male,all,0.0173,0.0101,0.0101,0.0101,0.0301,0.0064,0.0086,0.0129,0.0132,0.0382,0.0160,0.0641,0.1305,0.1970,0.1780,0.0119,0.0227,0.0624,0.0573,0.1030,0.0420,0.0847,0.1723,0.2235,0.3077,0.0097,0.0208,0.0437,0.0541,0.0448,59451.8000,4.3000
all,none,18 to 24,White,male,all,0.0016,0.0009,0.0009,0.0009,0.0028,0.0164,0.0218,0.0327,0.0335,0.0971,0.0080,0.0318,0.0648,0.0978,0.0884,0.0232,0.0441,0.1214,0.1114,0.2004,0.0113,0.0246,0.0557,0.0639,0.1531,0.0378,0.0741,0.1642,0.1798,0.2416,59451.8000,4.3000
all,none,over 24,White,male,all,0.0179,0.0105,0.0105,0.0105,0.0311,0.0134,0.0179,0.0268,0.0274,0.0795,0.0123,0.0492,0.1002,0.1512,0.1367,0.0141,0.0269,0.0739,0.0679,0.1221,0.0344,0.0608,0.1220,0.1505,0.2617,0.0233,0.0437,0.0894,0.1065,0.1130,59451.8000,4.3000
all,none,18 to 24,all,all,low income,0.0029,0.0017,0.0017,0.0017,0.0051,0.0110,0.0146,0.0220,0.0225,0.0652,0.0112,0.0448,0.0913,0.1377,0.1245,0.0205,0.0390,0.1072,0.0984,0.1770,0.0198,0.0449,0.0997,0.1193,0.2246,0.0259,0.0553,0.1225,0.1410,0.1534,59451.8000,4.3000
all,none,over 24,all,all,low income,0.0282,0.0165,0.0165,0.0165,0.0492,0.0077,0.0103,0.0155,0.0159,0.0460,0.0149,0.0597,0.1216,0.1835,0.1658,0.0107,0.0205,0.0563,0.0516,0.0929,0.0500,0.0840,0.1628,0.2091,0.3066,0.0116,0.0230,0.0471,0.0583,0.0507,59451.8000,4.3000
all,none,18 to 24,Black,all,low income,0.0065,0.0038,0.0038,0.0038,0.0113,0.0108,0.0144,0.0217,0.0222,0.0643,0.0119,0.0476,0.0970,0.1463,0.1322,0.0186,0.0355,0.0976,0.0896,0.1612,0.0251,0.0537,0.1162,0.1408,0.2470,0.0228,0.0476,0.1038,0.1210,0.1276,59451.8000,4.3000
all,none,over 24,Black,all,low income,0.0533,0.0312,0.0312,0.0312,0.0930,0.0066,0.0087,0.0131,0.0134,0.0390,0.0136,0.0545,0.1109,0.1674,0.1513,0.0084,0.0160,0.0440,0.0404,0.0726,0.0713,0.0948,0.1698,0.2165,0.3207,0.0106,0.0156,0.0295,0.0359,0.0371,59451.8000,4.3000
all,none,18 to 24,Hispanic,all,low income,0.0024,0.0014,0.0014,0.0014,0.0042,0.0065,0.0087,0.0130,0.0133,0.0387,0.0138,0.0553,0.1126,0.1698,0.1535,0.0187,0.0356,0.0979,0.0899,0.1617,0.0213,0.0532,0.1180,0.1466,0.2513,0.0202,0.0478,0.1069,0.1279,0.1135,59451.8000,4.3000
all,none,over 24,Hispanic,all,low income,0.0222,0.0130,0.0130,0.0130,0.0387,0.0044,0.0059,0.0088,0.0090,0.0261,0.0176,0.0704,0.1434,0.2163,0.1956,0.0094,0.0179,0.0491,0.0451,0.0811,0.0457,0.0909,0.1809,0.2410,0.3128,0.0079,0.0163,0.0334,0.0425,0.0313,59451.8000,4.3000
all,none,18 to 24,White,all,low income,0.0024,0.0014,0.0014,0.0014,0.0042,0.0130,0.0173,0.0260,0.0266,0.0772,0.0102,0.0406,0.0827,0.1248,0.1128,0.0212,0.0404,0.1111,0.1019,0.1834,0.0133,0.0300,0.0669,0.0795,0.1816,0.0335,0.0697,0.1543,0.1752,0.2032,59451.8000,4.3000
all,none,over 24,White,all,low income,0.0242,0.0141,0.0141,0.0141,0.0421,0.0096,0.0129,0.0193,0.0197,0.0573,0.0142,0.0569,0.1159,0.1748,0.1580,0.0117,0.0223,0.0613,0.0562,0.1012,0.0396,0.0677,0.1325,0.1686,0.2777,0.0201,0.0385,0.0780,0.0963,0.0863,59451.8000,4.3000
all,none,18 to 24,all,female,low income,0.0029,0.0017,0.0017,0.0017,0.0051,0.0110,0.0146,0.0220,0.0225,0.0652,0.0112,0.0448,0.0913,0.1377,0.1245,0.0205,0.0390,0.1072,0.0984,0.1770,0.0184,0.0419,0.0930,0.1115,0.2172,0.0272,0.0583,0.1291,0.1488,0.1612,59451.8000,4.3000
all,none,over 24,all,female,low income,0.0282,0.0165,0.0165,0.0165,0.0492,0.0077,0.0103,0.0155,0.0159,0.0460,0.0149,0.0597,0.1216,0.1835,0.1658,0.0107,0.0205,0.0563,0.0516,0.0929,0.0486,0.0810,0.1567,0.2014,0.3016,0.0131,0.0260,0.0532,0.0661,0.0562,59451.8000,4.3000
all,none,18 to 24,Black,female,low income,0.0065,0.0038,0.0038,0.0038,0.0113,0.0108,0.0144,0.0217,0.0222,0.0643,0.0119,0.0476,0.0970,0.1463,0.1322,0.0186,0.0355,0.0976,0.0896,0.1612,0.0236,0.0507,0.1096,0.1330,0.2399,0.0242,0.0507,0.1104,0.1289,0.1351,59451.8000,4.3000
all,none,over 24,Black,female,low income,0.0533,0.0312,0.0312,0.0312,0.0930,0.0066,0.0087,0.0131,0.0134,0.0390,0.0136,0.0545,0.1109,0.1674,0.1513,0.0084,0.0160,0.0440,0.0404,0.0726,0.0705,0.0925,0.1648,0.2099,0.3174,0.0115,0.0180,0.0345,0.0425,0.0409,59451.8000,4.3000
all,none,18 to 24,Hispanic,female,low income,0.0024,0.0014,0.0014,0.0014,0.0042,0.0065,0.0087,0.0130,0.0133,0.0387,0.0138,0.0553,0.1126,0.1698,0.1535,0.0187,0.0356,0.0979,0.0899,0.1617,0.0200,0.0502,0.1113,0.1383,0.2451,0.0215,0.0508,0.1137,0.1361,0.1201,59451.8000,4.3000
all,none,over 24,Hispanic,female,low income,0.0222,0.0130,0.0130,0.0130,0.0387,0.0044,0.0059,0.0088,0.0090,0.0261,0.0176,0.0704,0.1434,0.2163,0.1956,0.0094,0.0179,0.0491,0.0451,0.0811,0.0448,0.0881,0.1748,0.2329,0.3096,0.0088,0.0191,0.0395,0.0506,0.0351,59451.8000,4.3000
all,none,18 to 24,White,female,low income,0.0024,0.0014,0.0014,0.0014,0.0042,0.0130,0.0173,0.0260,0.0266,0.0772,0.0102,0.0406,0.0827,0.1248,0.1128,0.0212,0.0404,0.1111,0.1019,0.1834,0.0119,0.0270,0.0603,0.0719,0.1737,0.0349,0.0727,0.1609,0.1829,0.2115,59451.8000,4.3000
